DATE,REGION,GRADE
25,Namangan Region,Grade 10
25,Qashqadaryo Region,Grade 10
25,Fergana region,Grade 10
25,Sirdaryo Region,Grade 9
25,Karakalpakstan republic,Grade 10
25,Xorazm Region,Grade 9
25,Fergana region,Grade 11
25,Tashkent city,Grade 11
25,Fergana region,Grade 10
25,Fergana region,Grade 9
25,Xorazm Region,Grade 9
25,Tashkent region,Grade 11
25,Karakalpakstan republic,Grade 11
25,Sirdaryo Region,Grade 11
25,Tashkent city,Grade 10
25,Sirdaryo Region,Grade 9
25,Jizzakh Region,Grade 11
25,Karakalpakstan republic,Grade 9
25,Karakalpakstan republic,Grade 10
25,Tashkent region,Grade 9
25,Sirdaryo Region,Grade 10
25,Bukhara region,Grade 11
25,Bukhara region,Grade 9
25,Fergana region,Grade 10
25,Qashqadaryo Region,Grade 10
25,Surxondaryo Region,Grade 11
25,Tashkent region,Grade 10
25,Fergana region,Grade 11
25,Sirdaryo Region,Grade 9
25,Sirdaryo Region,Grade 10
25,Qashqadaryo Region,Grade 10
25,Xorazm Region,Grade 10
25,Tashkent city,Grade 11
25,Samarkand region,Grade 10
26,Jizzakh Region,Grade 10
26,Andijan region,Grade 10
26,Samarkand region,Grade 11
26,Fergana region,Grade 11
26,Fergana region,Grade 11
26,Namangan Region,Grade 10
26,Tashkent city,Grade 10
26,Fergana region,Grade 9
26,Karakalpakstan republic,Grade 11
26,Fergana region,Grade 9
26,Fergana region,Grade 11
26,Navoiy region,Grade 10
26,Andijan region,Grade 11
26,Bukhara region,Grade 11
26,Fergana region,Grade 10
26,Jizzakh Region,Grade 10
26,Jizzakh Region,Grade 10
26,Fergana region,Grade 10
26,Andijan region,Grade 11
26,Surxondaryo Region,Grade 9
26,Jizzakh Region,Grade 10
26,Fergana region,Grade 10
26,Sirdaryo Region,Grade 9
26,Fergana region,Grade 10
26,Qashqadaryo Region,Grade 11
26,Fergana region,Grade 9
26,Namangan Region,Grade 10
26,Fergana region,Grade 10
26,Navoiy region,Grade 11
26,Tashkent city,Grade 11
26,Tashkent region,Grade 11
26,Sirdaryo Region,Grade 10
26,Sirdaryo Region,Grade 9
26,Tashkent city,Grade 10
26,Bukhara region,Grade 10
26,Navoiy region,Grade 11
26,Navoiy region,Grade 9
26,Tashkent region,Grade 11
26,Sirdaryo Region,Grade 9
26,Qashqadaryo Region,Grade 10
26,Sirdaryo Region,Grade 9
26,Samarkand region,Grade 10
26,Sirdaryo Region,Grade 11
26,Namangan Region,Grade 11
26,Tashkent city,Grade 9
26,Namangan Region,Grade 11
26,Fergana region,Grade 10
26,Tashkent region,Grade 11
26,Sirdaryo Region,Grade 9
26,Sirdaryo Region,Grade 9
26,Tashkent city,Grade 10
26,Surxondaryo Region,Grade 11
26,Andijan region,Grade 9
26,Tashkent city,Grade 11
26,Samarkand region,Grade 9
26,Tashkent city,Grade 9
26,Namangan Region,Grade 10
26,Qashqadaryo Region,Grade 9
26,Samarkand region,Grade 9
26,Sirdaryo Region,Grade 9
26,Navoiy region,Grade 10
26,Sirdaryo Region,Grade 10
26,Navoiy region,Grade 11
26,Surxondaryo Region,Grade 11
26,Bukhara region,Grade 11
26,Fergana region,Grade 10
26,Samarkand region,Grade 11
26,Andijan region,Grade 10
26,Andijan region,Grade 9
26,Karakalpakstan republic,Grade 11
26,Qashqadaryo Region,Grade 9
26,Namangan Region,Grade 11
26,Surxondaryo Region,Grade 11
26,Samarkand region,Grade 11
26,Xorazm Region,Grade 10
26,Qashqadaryo Region,Grade 9
26,Tashkent city,Grade 10
26,Surxondaryo Region,Grade 9
26,Karakalpakstan republic,Grade 9
26,Karakalpakstan republic,Grade 9
26,Tashkent region,Grade 9
26,Karakalpakstan republic,Grade 9
26,Bukhara region,Grade 10
26,Namangan Region,Grade 11
26,Fergana region,Grade 10
26,Samarkand region,Grade 10
26,Fergana region,Grade 9
26,Fergana region,Grade 9
26,Andijan region,Grade 9
26,Samarkand region,Grade 9
26,Fergana region,Grade 9
26,Andijan region,Grade 11
26,Navoiy region,Grade 10
26,Andijan region,Grade 11
26,Sirdaryo Region,Grade 9
26,Samarkand region,Grade 10
26,Tashkent region,Grade 11
26,Karakalpakstan republic,Grade 11
26,Fergana region,Grade 9
26,Sirdaryo Region,Grade 9
26,Sirdaryo Region,Grade 10
26,Sirdaryo Region,Grade 10
26,Xorazm Region,Grade 10
26,Andijan region,Grade 9
26,Namangan Region,Grade 10
26,Sirdaryo Region,Grade 11
26,Samarkand region,Grade 10
26,Sirdaryo Region,Grade 9
26,Navoiy region,Grade 10
26,Bukhara region,Grade 11
26,Navoiy region,Grade 10
26,Andijan region,Grade 10
26,Fergana region,Grade 10
26,Tashkent city,Grade 9
26,Samarkand region,Grade 10
26,Fergana region,Grade 11
26,Samarkand region,Grade 10
26,Fergana region,Grade 10
26,Sirdaryo Region,Grade 10
26,Fergana region,Grade 10
26,Namangan Region,Grade 10
26,Karakalpakstan republic,Grade 9
26,Qashqadaryo Region,Grade 10
26,Fergana region,Grade 10
26,Fergana region,Grade 11
26,Karakalpakstan republic,Grade 9
26,Samarkand region,Grade 10
26,Sirdaryo Region,Grade 10
26,Sirdaryo Region,Grade 10
26,Andijan region,Grade 10
26,Sirdaryo Region,Grade 10
26,Tashkent region,Grade 11
26,Sirdaryo Region,Grade 11
26,Navoiy region,Grade 10
26,Bukhara region,Grade 9
26,Tashkent region,Grade 11
26,Tashkent city,Grade 10
26,Bukhara region,Grade 11
26,Fergana region,Grade 10
26,Sirdaryo Region,Grade 10
26,Samarkand region,Grade 11
26,Fergana region,Grade 10
26,Fergana region,Grade 10
26,Surxondaryo Region,Grade 10
26,Fergana region,Grade 11
26,Samarkand region,Grade 10
26,Samarkand region,Grade 10
26,Tashkent city,Grade 10
26,Samarkand region,Grade 9
26,Samarkand region,Grade 10
26,Qashqadaryo Region,Grade 9
26,Samarkand region,Grade 11
26,Tashkent region,Grade 11
26,Samarkand region,Grade 10
26,Tashkent region,Grade 11
26,Tashkent region,Grade 9
26,Namangan Region,Grade 9
26,Sirdaryo Region,Grade 10
26,Fergana region,Grade 10
26,Sirdaryo Region,Grade 10
26,Karakalpakstan republic,Grade 9
26,Fergana region,Grade 9
26,Jizzakh Region,Grade 10
26,Sirdaryo Region,Grade 10
26,Andijan region,Grade 11
26,Xorazm Region,Grade 9
26,Tashkent region,Grade 10
26,Sirdaryo Region,Grade 11
26,Qashqadaryo Region,Grade 9
26,Sirdaryo Region,Grade 9
26,Tashkent city,Grade 9
26,Tashkent city,Grade 11
26,Tashkent city,Grade 11
26,Fergana region,Grade 11
26,Navoiy region,Grade 10
26,Navoiy region,Grade 10
26,Tashkent city,Grade 10
